number,content,source
1,"Machine Learning SystemsPrinciples and Practices of Engineering Artificially Intelligent SystemsAuthor, Editor & CuratorAffiliationVijay Janapa Reddi Harvard UniversityLast UpdatedMay 14, 2025AbstractMachine Learning Systems presents a comprehensive approach to understanding and engineering machine learning (ML). While many resources focus on ML algorithms and model architectures, this book serves as a bridge between theoretical foundations and practical engineering.","preface (part 1)"
10,"sform lives every day. Your selfless contributions remind me to persevere.Last but certainly not least, this work would not be possible without the unwavering support of my wonderful wife and children. Their love, patience, and encouragement form the foundation that enables me to pursue my passion and bring this work to life. For this, and so much more, I am deeply grateful.— Prof. Vijay Janapa Reddi","Author’s Note (part 9)"
100,"and practical developments in implementation methodologies. This development mirrors the evolution of other scientific and engineering disciplines—from mechanical engineering’s advancement from basic force principles to contemporary robotics, to electrical engineering’s progression from fundamental electromagnetic theory to modern power and communication networks. Analysis of this historical trajectory reveals both the technological innovations leading to current machine learning approaches and","1.2 AI and ML Basics (part 7)"
101,"the emergence of deep reinforcement learning that inform contemporary AI system development.","1.2 AI and ML Basics (part 8)"
102,"The evolution of AI, depicted in the timeline shown in Figure 1.1, highlights key milestones such as the development of the perceptron in 1957 by Frank Rosenblatt, a foundational element for modern neural networks. Imagine walking into a computer lab in 1965. You’d find room-sized mainframes running programs that could prove basic mathematical theorems or play simple games like tic-tac-toe. These early artificial intelligence systems, while groundbreaking for their time, were a far cry from toda","1.3 AI Evolution (part 1)"
103,"y’s machine learning systems that can detect cancer in medical images or understand human speech. The timeline shows the progression from early innovations like the ELIZA chatbot in 1966, to significant breakthroughs such as IBM’s Deep Blue defeating chess champion Garry Kasparov in 1997. More recent advancements include the introduction of OpenAI’s GPT-3 in 2020 and GPT-4 in 2023, demonstrating the dramatic evolution and increasing complexity of AI systems over the decades.Figure 1.","1.3 AI Evolution (part 2)"
104,"1: Milestones in AI from 1950 to 2020. Source: IEEE SpectrumLet’s explore how we got here.","1.3 AI Evolution (part 3)"
105,"The story of machine learning begins at the historic Dartmouth Conference in 1956, where pioneers like John McCarthy, Marvin Minsky, and Claude Shannon first coined the term “artificial intelligence.” Their approach was based on a compelling idea: intelligence could be reduced to symbol manipulation. Consider Daniel Bobrow’s STUDENT system from 1964, one of the first AI programs that could solve algebra word problems.","1.3.1 Symbolic AI Era (part 1)"
106,"It was one of the first AI programs to demonstrate natural language understanding by converting English text into algebraic equations, marking an important milestone in symbolic AI.Example: STUDENT (1964)Problem: ""If the number of customers Tom gets is twice thesquare of 20% of the number of advertisements he runs, andthe number of advertisements is 45, what is the number ofcustomers Tom gets?""STUDENT would:1. Parse the English text2. Convert it to algebraic equations3.","1.3.1 Symbolic AI Era (part 2)"
107,"Solve the equation: n = 2(0.2 × 45)²4. Provide the answer: 162 customersEarly AI like STUDENT suffered from a fundamental limitation: they could only handle inputs that exactly matched their pre-programmed patterns and rules. Imagine a language translator that only works when sentences follow perfect grammatical structure—even slight variations like changing word order, using synonyms, or natural speech patterns would cause the STUDENT to fail.","1.3.1 Symbolic AI Era (part 3)"
108,"This “brittleness” meant that while these solutions could appear intelligent when handling very specific cases they were designed for, they would break down completely when faced with even minor variations or real-world complexity. This limitation wasn’t just a technical inconvenience—it revealed a deeper problem with rule-based approaches to AI: they couldn’t genuinely understand or generalize from their programming, they could only match and manipulate patterns exactly as specified.","1.3.1 Symbolic AI Era (part 4)"
109,"By the mid-1970s, researchers realized that general AI was too ambitious. Instead, they focused on capturing human expert knowledge in specific domains. MYCIN, developed at Stanford, was one of the first large-scale expert systems designed to diagnose blood infections.Example: MYCIN (1976)Rule Example from MYCIN:IF  The infection is primary-bacteremia  The site of the culture is one of the sterile sites  The suspected portal of entry is the gastrointestinal tractTHEN  Found suggestive e","1.3.2 Expert Systems Era (part 1)"
11,"About the BookOverviewPurpose of the BookWelcome to this collaborative textbook. It originated as part of the CS249r: Tiny Machine Learning course that Prof. Vijay Janapa Reddi teaches at Harvard University.The goal of this book is to provide a resource for educators and learners seeking to understand the principles and practices of machine learning systems. This book is continually updated to incorporate the latest insights and effective teaching strategies with the intent that it remains","About the Book (part 1)"
110,"vidence (0.7) that infection is bacteroidWhile MYCIN represented a major advance in medical AI with its 600 expert rules for diagnosing blood infections, it revealed fundamental challenges that still plague ML today. Getting domain knowledge from human experts and converting it into precise rules proved incredibly time-consuming and difficult—doctors often couldn’t explain exactly how they made decisions.","1.3.2 Expert Systems Era (part 2)"
111,"MYCIN struggled with uncertain or incomplete information, unlike human doctors who could make educated guesses. Perhaps most importantly, maintaining and updating the rule base became exponentially more complex as MYCIN grew—adding new rules often conflicted with existing ones, and medical knowledge itself kept evolving. These same challenges of knowledge capture, uncertainty handling, and maintenance remain central concerns in modern machine learning, even though we now use different technical","1.3.2 Expert Systems Era (part 3)"
112,"approaches to address them.","1.3.2 Expert Systems Era (part 4)"
113,"The 1990s marked a radical transformation in artificial intelligence as the field moved away from hand-coded rules toward statistical learning approaches. This wasn’t a simple choice—it was driven by three converging factors that made statistical methods both possible and powerful. The digital revolution meant massive amounts of data were suddenly available to train the algorithms. Moore’s Law delivered the computational power needed to process this data effectively.","1.3.3 Statistical Learning Era (part 1)"
114,"And researchers developed new algorithms like Support Vector Machines and improved neural networks that could actually learn patterns from this data rather than following pre-programmed rules. This combination fundamentally changed how we built AI: instead of trying to encode human knowledge directly, we could now let machines discover patterns automatically from examples, leading to more robust and adaptable AI.","1.3.3 Statistical Learning Era (part 2)"
115,"Consider how email spam filtering evolved:Example: Early Spam Detection SystemsRule-based (1980s):IF contains(""viagra"") OR contains(""winner"") THEN spamStatistical (1990s):P(spam|word) = (frequency in spam emails) / (total frequency)Combined using Naive Bayes:P(spam|email) ∝ P(spam) × ∏ P(word|spam)The move to statistical approaches fundamentally changed how we think about building AI by introducing three core concepts that remain important today.","1.3.3 Statistical Learning Era (part 3)"
116,"First, the quality and quantity of training data became as important as the algorithms themselves—AI could only learn patterns that were present in its training examples. Second, we needed rigorous ways to evaluate how well AI actually performed, leading to metrics that could measure success and compare different approaches. Third, we discovered an inherent tension between precision (being right when we make a prediction) and recall (catching all the cases we should find), forcing designers to","1.3.3 Statistical Learning Era (part 4)"
117,"make explicit trade-offs based on their application’s needs. For example, a spam filter might tolerate some spam to avoid blocking important emails, while medical diagnosis might need to catch every potential case even if it means more false alarms.Table 1.1 encapsulates the evolutionary journey of AI approaches we have discussed so far, highlighting the key strengths and capabilities that emerged with each new paradigm.","1.3.3 Statistical Learning Era (part 5)"
118,"As we move from left to right across the table, we can observe several important trends. We will talk about shallow and deep learning next, but it is useful to understand the trade-offs between the approaches we have covered so far.Table 1.1: Evolution of AI—Key Positive AspectsAspectSymbolic AIExpert SystemsStatistical LearningShallow / Deep LearningKey StrengthLogical reasoningDomain expertiseVersatilityPattern recognitionBest Use CaseWell-defined, rule-based problemsSpecific d","1.3.3 Statistical Learning Era (part 6)"
119,"omain problemsVarious structured data problemsComplex, unstructured data problemsData HandlingMinimal data neededDomain knowledge-basedModerate data requiredLarge-scale data processingAdaptabilityFixed rulesDomain-specific adaptabilityAdaptable to various domainsHighly adaptable to diverse tasksProblem ComplexitySimple, logic-basedComplicated, domain- specificComplex, structuredHighly complex, unstructuredThe table serves as a bridge between the early approaches we’ve discussed","1.3.3 Statistical Learning Era (part 7)"
12,"It emphasizes the systems context that engineers need to master when building AI solutions in the real world. The text progresses from foundational concepts to advanced system design, integrating topics such as data engineering, model optimization, hardware-aware training approaches, and inference acceleration strategies. Throughout the book, readers develop a principled understanding of ML systems engineering, learning to reason about system architectures and address critical challenges in are","preface (part 2)"
120,"and the more recent developments in shallow and deep learning that we’ll explore next. It sets the stage for understanding why certain approaches gained prominence in different eras and how each new paradigm built upon and addressed the limitations of its predecessors. Moreover, it illustrates how the strengths of earlier approaches continue to influence and enhance modern AI techniques, particularly in the era of foundation models.","1.3.3 Statistical Learning Era (part 8)"
121,"The 2000s marked a fascinating period in machine learning history that we now call the ``shallow learning’’ era. To understand why it’s “shallow,” imagine building a house: deep learning (which came later) is like having multiple construction crews working at different levels simultaneously, each crew learning from the work of crews below them. In contrast, shallow learning typically had just one or two levels of processing—like having just a foundation crew and a framing crew.","1.3.4 Shallow Learning Era (part 1)"
122,"During this time, several powerful algorithms dominated the machine learning landscape. Each brought unique strengths to different problems: Decision trees provided interpretable results by making choices much like a flowchart. K-nearest neighbors made predictions by finding similar examples in past data, like asking your most experienced neighbors for advice. Linear and logistic regression offered straightforward, interpretable models that worked well for many real-world problems.","1.3.4 Shallow Learning Era (part 2)"
123,"Support Vector Machines (SVMs) excelled at finding complex boundaries between categories using the “kernel trick”—imagine being able to untangle a bowl of spaghetti into straight lines by lifting it into a higher dimension. These algorithms formed the foundation of practical machine learning.Consider a typical computer vision solution from 2005:Example: Traditional Computer Vision Pipeline1. Manual Feature Extraction  - SIFT (Scale-Invariant Feature Transform)  - HOG (Histogram of Orient","1.3.4 Shallow Learning Era (part 3)"
124,"ed Gradients)  - Gabor filters2. Feature Selection/Engineering3. ""Shallow"" Learning Model (e.g., SVM)4. Post-processingWhat made this era distinct was its hybrid approach: human-engineered features combined with statistical learning. They had strong mathematical foundations (researchers could prove why they worked). They performed well even with limited data. They were computationally efficient. They produced reliable, reproducible results.","1.3.4 Shallow Learning Era (part 4)"
125,"Take the example of face detection, where the Viola-Jones algorithm (2001) achieved real-time performance using simple rectangular features and a cascade of classifiers. This algorithm powered digital camera face detection for nearly a decade.","1.3.4 Shallow Learning Era (part 5)"
126,"While Support Vector Machines excelled at finding complex boundaries between categories using mathematical transformations, deep learning took a radically different approach inspired by the human brain’s architecture. Deep learning is built from layers of artificial neurons, where each layer learns to transform its input data into increasingly abstract representations. Imagine processing an image of a cat: the first layer might learn to detect simple edges and contrasts, the next layer combines","1.3.5 Deep Learning Era (part 1)"
127,"these into basic shapes and textures, another layer might recognize whiskers and pointy ears, and the final layers assemble these features into the concept of “cat.”Unlike shallow learning methods that required humans to carefully engineer features, deep learning networks can automatically discover useful features directly from raw data. This ability to learn hierarchical representations—from simple to complex, concrete to abstract—is what makes deep learning “deep,” and it turned out to be a","1.3.5 Deep Learning Era (part 2)"
128,"remarkably powerful approach for handling complex, real-world data like images, speech, and text.In 2012, a deep neural network called AlexNet, shown in Figure 1.2, achieved a breakthrough in the ImageNet competition that would transform the field of machine learning. The challenge was formidable: correctly classify 1.2 million high-resolution images into 1,000 different categories. While previous approaches struggled with error rates above 25%, AlexNet achieved a 15.","1.3.5 Deep Learning Era (part 3)"
129,"3% error rate, dramatically outperforming all existing methods.The success of AlexNet wasn’t just a technical achievement—it was a watershed moment that demonstrated the practical viability of deep learning. It showed that with sufficient data, computational power, and architectural innovations, neural networks could outperform hand-engineered features and shallow learning methods that had dominated the field for decades.","1.3.5 Deep Learning Era (part 4)"
